[1,	1,	1,	1,	1,	1,	1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2],
[1,	1,	1,	1,	1,	1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1],
[1,	1,	1,	1,	1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1],
[1,	1,	1,	1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6],
[1,	1,	1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6],
[1,	1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6,	8],
[1,	1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6,	8,	7],
[1,	7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6,	8,	7,	7],
[7,	7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6,	8,	7,	7,	1],
[7,	3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6,	8,	7,	7,	1,	1],
[3,	3,	3,	2,	1,	1,	1,	1,	5,	5,	4,	4,	4,	7,	7,	2,	3,	3,	3,	3,	1,	1,	1,	2,	2,	4,	6,	6,	6,	3,	3,	1,	1,	1,	1,	1,	7,	7,	2,	4,	4,	1,	1,	1,	5,	8,	8,	8,	8,	2,	2,	1,	1,	1,	7,	7,	8,	6,	6,	1,	1,	2,	1,	1,	6,	6,	8,	7,	7,	1,	1,	1],
